PROVINCE,STRATUM,PSU,PERSONWT,Q11YRBRTH,Q12SEX,GEO_TYPE,QUINTILE,RACE,Q41ATNDSCH,Q43GRADE,Q43EDLVL,Q44LITERACY
2,23,1624,148.2,2022,1,1,5,1,,1,2,
3,31,992,143.4,1950,2,1,5,1,2.0,10,3,1.0
7,73,1198,156.1,1997,1,1,5,1,2.0,11,3,1.0
7,72,1771,322.5,2009,2,1,5,1,1.0,8,3,
3,32,788,413.1,2006,2,1,3,1,1.0,11,3,1.0
9,92,559,219.6,2002,1,1,2,1,2.0,9,3,1.0
5,52,1822,203.6,2010,1,1,3,1,1.0,7,2,
8,82,2771,340.0,2012,2,1,4,1,1.0,5,2,
4,43,350,100.4,1939,1,1,4,1,2.0,4,2,2.0
4,42,1780,54.2,2010,2,1,1,1,1.0,7,2,
5,52,2476,274.5,1998,1,1,4,1,2.0,11,3,1.0
8,83,3304,280.4,1983,1,1,5,1,2.0,12,5,1.0
4,43,2175,101.8,1983,2,2,2,1,2.0,11,3,1.0
3,31,1107,492.1,2013,2,2,2,4,1.0,5,2,
4,42,484,275.1,1998,2,1,5,1,2.0,10,3,1.0
4,42,2391,409.6,1987,1,1,3,1,2.0,7,2,1.0
2,21,332,280.2,1941,1,2,1,1,2.0,10,3,1.0
1,11,318,402.0,2006,2,2,1,4,1.0,11,3,1.0
3,31,1306,193.9,1972,1,1,5,4,2.0,11,3,1.0
9,93,2081,450.9,1998,2,1,4,3,2.0,11,3,1.0
4,41,2704,122.3,1980,1,1,5,1,2.0,10,3,1.0
8,81,1131,301.8,1987,2,2,3,4,2.0,6,2,1.0
6,62,2787,459.1,1963,1,1,3,1,2.0,7,2,1.0
1,13,361,142.1,1966,2,1,3,1,2.0,11,3,1.0
8,81,3051,221.9,1986,2,1,4,1,2.0,12,4,1.0
6,61,905,135.7,1967,2,2,3,2,2.0,6,2,1.0
1,11,376,223.6,2022,2,1,3,1,,0,0,
3,33,3146,237.7,1954,2,1,1,1,2.0,10,3,1.0
4,43,1571,268.7,1963,2,1,4,1,2.0,6,2,1.0
4,43,268,234.6,1977,2,1,1,1,2.0,11,3,1.0
4,41,2808,168.9,1968,2,1,4,1,2.0,12,4,1.0
3,33,1978,355.2,2002,2,1,5,1,2.0,10,3,1.0
3,31,3255,174.1,2014,1,2,5,2,1.0,2,2,
8,83,934,332.3,2021,1,1,4,1,,0,0,
3,32,1033,440.7,1999,2,1,5,1,2.0,11,3,1.0
1,11,2117,106.9,1992,1,2,4,1,2.0,11,3,1.0
2,23,971,361.8,1973,2,1,4,1,2.0,10,3,1.0
8,81,899,159.5,1957,2,2,1,1,2.0,11,3,1.0
2,23,1953,117.0,1962,1,1,5,1,2.0,6,2,1.0
1,11,28,157.0,1969,1,2,2,1,2.0,9,3,1.0
8,83,437,54.2,1971,1,2,1,3,2.0,10,3,1.0
1,12,2899,484.1,1939,2,2,1,1,2.0,11,3,1.0
5,52,286,411.1,2013,2,1,4,4,1.0,4,2,
2,22,2748,310.0,2021,1,1,4,1,,1,2,
7,72,646,143.2,1965,2,2,2,1,2.0,11,3,1.0
1,12,411,73.0,1951,1,3,3,1,2.0,10,3,1.0
9,91,672,198.8,1962,2,1,4,1,2.0,6,2,2.0
5,53,2119,346.5,1948,2,2,1,1,2.0,8,3,1.0
1,13,1740,139.5,1967,1,1,2,2,2.0,10,3,1.0
7,71,1621,107.9,1941,2,2,4,2,2.0,12,5,1.0
6,63,277,337.1,1984,2,1,3,2,2.0,10,3,1.0
8,82,2526,70.8,1945,2,1,2,1,2.0,12,4,1.0
1,12,1252,362.3,2019,1,2,2,1,,0,0,
5,53,92,259.8,1945,2,3,2,1,2.0,12,4,1.0
8,82,1306,328.9,1979,1,1,5,1,1.0,5,2,1.0
5,51,1089,383.4,1955,1,2,2,1,2.0,10,3,1.0
5,53,2452,173.7,1982,2,2,5,1,2.0,12,4,1.0
3,31,1060,171.3,2013,1,1,5,4,1.0,4,2,
8,82,3184,480.3,1981,2,2,1,1,2.0,10,3,1.0
4,41,1503,159.8,1983,1,2,4,1,2.0,7,2,1.0
5,51,1993,69.2,1945,1,1,3,1,2.0,11,3,1.0
7,71,2566,288.7,1958,2,3,3,1,2.0,12,5,1.0
8,82,3262,320.2,1978,2,2,5,1,2.0,8,3,1.0
8,81,452,282.4,2013,1,2,2,1,2.0,5,2,
1,12,3243,151.8,1976,2,1,4,1,2.0,7,2,1.0
8,82,822,216.2,1999,1,1,5,1,2.0,11,3,1.0
7,71,1025,495.5,1981,1,1,3,1,1.0,12,4,1.0
2,21,501,329.6,1949,1,1,4,1,2.0,9,3,1.0
7,73,754,206.3,2015,2,1,3,1,1.0,2,2,
8,81,1762,152.4,1944,1,1,2,1,2.0,9,3,1.0
2,23,1772,146.8,1984,1,1,5,1,2.0,7,2,1.0
2,22,2,193.8,2007,1,1,5,1,1.0,11,3,1.0
1,12,2524,281.4,2008,2,1,3,1,1.0,9,3,
7,72,2954,244.3,1971,1,1,3,3,2.0,7,2,1.0
8,83,563,372.0,2022,1,1,5,1,,1,2,
1,12,3278,270.8,1951,1,1,4,1,2.0,6,2,1.0
2,21,652,71.3,1997,1,1,5,1,2.0,9,3,1.0
1,12,2769,389.6,2003,1,2,2,1,2.0,10,3,1.0
8,83,469,57.3,1975,1,1,5,2,2.0,10,3,1.0
8,82,823,455.9,2005,2,1,4,3,1.0,12,4,1.0
1,12,130,54.1,1949,1,1,5,1,2.0,11,3,1.0
5,52,3197,70.5,1995,2,1,5,1,2.0,10,3,1.0
5,52,2452,207.5,2005,2,1,4,4,1.0,12,4,1.0
3,33,1642,167.6,1957,1,2,2,1,2.0,10,3,1.0
3,33,1620,462.2,1978,2,1,5,2,2.0,11,3,1.0
3,33,631,475.0,1985,1,1,3,1,2.0,4,2,1.0
8,81,2380,239.3,1980,2,1,5,1,2.0,6,2,1.0
1,13,1749,59.2,1944,1,1,3,4,2.0,12,5,1.0
9,91,2660,194.7,2019,1,2,2,1,,1,2,
8,83,846,59.3,1971,2,1,5,1,2.0,9,3,1.0
6,61,2042,414.5,1946,2,1,3,1,2.0,10,3,1.0
3,33,80,465.7,1989,2,1,2,1,2.0,5,2,1.0
2,21,1832,399.5,1966,2,3,1,1,2.0,10,3,1.0
9,92,2892,305.3,1965,1,1,3,4,2.0,9,3,1.0
2,23,1717,76.7,1946,1,1,2,1,2.0,11,3,1.0
3,33,2364,83.1,2006,2,2,3,1,1.0,12,4,1.0
7,72,2603,234.9,2013,2,1,5,2,1.0,4,2,
4,42,588,198.5,1941,2,1,3,1,2.0,11,3,1.0
5,53,682,365.5,1939,1,2,5,1,2.0,10,3,1.0
2,21,524,361.9,2004,1,2,5,4,2.0,8,3,1.0
3,32,1728,138.3,1977,2,3,1,1,2.0,9,3,1.0
4,41,1101,105.9,1963,2,1,5,1,2.0,10,3,1.0
9,92,1002,168.1,1967,2,1,4,2,2.0,10,3,1.0
5,52,2607,144.0,1982,1,1,5,1,2.0,7,2,1.0
2,21,2698,405.9,1990,2,1,2,1,2.0,10,3,1.0
3,32,2721,484.5,1988,1,1,4,1,2.0,6,2,1.0
8,83,1534,424.9,1960,2,1,5,1,2.0,10,3,1.0
5,51,1278,261.0,2003,1,1,5,2,2.0,12,4,1.0
6,62,1356,293.1,1967,1,1,5,1,2.0,11,3,1.0
4,43,2089,290.9,1987,1,1,2,1,2.0,10,3,1.0
7,72,2801,265.4,1951,1,2,4,2,2.0,10,3,1.0
2,23,299,196.2,1978,2,2,3,1,2.0,10,3,1.0
7,73,1911,403.7,2013,1,1,2,1,1.0,5,2,
8,83,724,384.8,1949,2,1,4,1,2.0,9,3,1.0
2,21,1915,347.4,1969,1,1,4,1,2.0,11,3,1.0
5,52,1765,369.1,1953,2,1,1,1,2.0,7,2,1.0
1,13,3036,330.0,1953,1,1,4,1,2.0,9,3,1.0
3,33,1261,465.6,1942,2,2,1,1,2.0,7,2,1.0
4,43,2012,120.9,1963,2,1,5,1,2.0,8,3,1.0
6,62,1322,185.1,1991,2,2,2,1,2.0,9,3,1.0
7,71,3024,231.3,1947,2,1,4,1,2.0,12,5,1.0
5,53,1097,257.3,2022,1,1,4,3,,1,2,
7,73,1658,362.1,1959,1,2,5,1,2.0,10,3,1.0
4,42,3093,399.0,2000,1,1,1,1,2.0,11,3,1.0
1,11,1227,174.4,1976,2,2,1,1,2.0,6,2,1.0
3,33,2393,416.6,1981,2,1,1,1,2.0,8,3,1.0
5,53,31,143.0,1987,2,1,5,1,2.0,8,3,1.0
9,92,1404,251.5,2021,2,3,1,4,,0,0,
4,42,1002,79.2,1958,2,2,3,1,2.0,10,3,1.0
3,31,801,385.9,1958,2,1,4,2,2.0,9,3,1.0
2,21,2825,283.0,1945,2,1,3,2,2.0,6,2,2.0
1,13,2874,420.0,1966,2,2,1,1,2.0,8,3,1.0
6,61,728,369.9,2001,2,1,4,1,2.0,9,3,1.0
3,32,1189,437.3,1974,2,2,3,1,2.0,8,3,1.0
2,23,939,452.8,1959,2,2,2,4,2.0,12,4,1.0
2,23,1891,223.6,1972,2,1,4,1,2.0,12,4,1.0
4,42,1464,219.3,1975,2,1,4,1,2.0,8,3,1.0
1,13,3262,498.7,1958,1,1,3,1,2.0,8,3,1.0
6,63,467,116.5,1967,2,1,5,1,2.0,9,3,1.0
8,82,1106,219.7,1975,2,1,5,3,2.0,10,3,1.0
5,52,3167,318.1,1957,1,1,5,2,2.0,6,2,2.0
5,52,668,343.2,1943,1,2,1,2,2.0,11,3,1.0
1,13,2966,403.8,1994,2,1,4,1,2.0,6,2,1.0
8,81,701,130.0,1958,2,1,5,4,2.0,9,3,1.0
1,12,2850,374.2,1949,1,1,4,1,2.0,11,3,1.0
2,23,26,399.9,1953,2,1,3,1,2.0,11,3,1.0
7,72,1924,258.5,1967,1,2,2,1,2.0,9,3,1.0
3,32,1078,290.7,1941,2,1,4,1,2.0,12,4,1.0
5,52,320,380.1,2018,1,1,5,1,,1,2,
8,83,125,497.2,1967,2,1,3,1,2.0,7,2,1.0
1,11,1695,480.3,1971,1,1,4,1,2.0,10,3,1.0
2,22,2585,75.8,1999,1,2,3,1,2.0,4,2,1.0
8,82,2938,127.9,1972,2,2,2,1,2.0,5,2,1.0
1,12,1570,140.3,2003,1,1,4,1,2.0,9,3,1.0
8,82,2871,329.8,2017,2,1,5,1,2.0,0,0,
1,12,569,117.9,2015,1,1,5,1,1.0,2,2,
1,11,1061,196.2,2016,1,2,2,1,1.0,2,2,
7,72,3130,185.3,2016,2,2,3,1,1.0,2,2,
2,22,1007,331.5,1984,1,3,3,1,2.0,10,3,1.0
8,82,2852,102.6,1980,2,1,3,1,2.0,8,3,1.0
2,22,2644,197.8,1979,1,2,2,1,1.0,11,3,1.0
9,92,1818,247.3,1983,2,1,2,1,2.0,7,2,1.0
9,91,166,229.1,2019,1,3,1,1,,0,0,
9,93,2546,198.1,1973,2,2,1,1,2.0,7,2,1.0
2,22,2787,455.2,1946,2,1,4,1,1.0,10,3,1.0
5,53,1107,205.4,1978,2,2,1,1,2.0,10,3,1.0
6,62,1990,469.0,1938,2,1,5,1,2.0,10,3,1.0
4,43,1245,265.5,1979,2,1,4,1,2.0,7,2,1.0
9,92,1610,308.4,1956,1,1,5,2,2.0,9,3,1.0
4,41,1681,379.1,1986,2,2,2,1,2.0,11,3,1.0
8,83,2621,299.7,1994,2,1,4,1,2.0,11,3,1.0
4,42,1622,397.8,2008,2,1,4,1,1.0,8,3,
9,92,2059,106.7,1962,2,1,4,1,2.0,12,4,1.0
3,32,1523,161.8,2020,2,2,2,1,,0,0,
8,83,1588,252.5,1981,2,1,4,2,2.0,11,3,1.0
4,42,393,321.8,1961,2,2,4,1,2.0,12,4,1.0
2,23,2219,320.9,1978,2,1,3,1,2.0,10,3,1.0
8,83,2101,271.4,1960,2,1,3,1,2.0,11,3,1.0
4,41,3164,108.9,2015,1,1,3,1,1.0,1,2,
9,92,1162,338.2,1989,2,2,1,1,2.0,9,3,1.0
4,43,3139,439.5,1950,2,1,5,4,2.0,12,4,1.0
2,21,1040,155.5,1994,1,1,1,2,2.0,6,2,1.0
9,91,1734,314.0,1965,1,1,1,1,2.0,9,3,1.0
6,62,2702,101.3,1944,2,2,3,1,2.0,10,3,1.0
3,32,1644,470.3,1947,2,2,1,1,2.0,7,2,2.0
7,71,1094,128.9,1964,1,1,4,2,2.0,9,3,1.0
2,23,1672,391.4,2013,2,3,1,1,1.0,5,2,
6,63,957,292.1,2014,1,1,4,2,1.0,3,2,
5,51,1605,195.3,2005,1,1,4,1,1.0,12,4,1.0
6,61,2792,164.3,1984,1,1,2,3,2.0,11,3,2.0
3,33,127,343.4,2016,1,1,5,1,1.0,1,2,
7,72,3001,208.2,1938,2,3,1,1,2.0,11,3,1.0
1,13,2987,355.6,1997,2,1,4,1,2.0,10,3,1.0
6,61,2651,82.5,1998,1,1,3,1,2.0,11,3,1.0
1,11,1831,276.4,2010,1,1,5,4,1.0,6,2,
6,61,43,268.0,1959,2,2,2,1,2.0,9,3,1.0
7,72,752,92.8,1957,2,2,4,1,2.0,10,3,1.0
2,21,2526,111.6,1964,1,2,3,1,2.0,8,3,1.0
2,21,2040,177.8,2010,1,2,1,1,1.0,7,2,
3,33,1148,210.4,1944,2,1,4,1,2.0,5,2,1.0
8,83,2957,155.8,1977,1,2,1,1,2.0,11,3,1.0
1,13,442,479.7,2010,2,1,5,1,1.0,7,2,
5,53,2605,406.6,1963,2,1,4,1,2.0,5,2,1.0
7,72,360,335.7,1963,1,1,5,1,2.0,10,3,1.0
7,73,919,266.8,1939,2,1,3,4,2.0,12,4,1.0
5,51,664,251.9,1959,1,1,5,1,2.0,8,3,1.0
3,32,863,152.5,2018,1,1,5,1,,1,2,
5,52,2659,469.7,2003,2,3,5,1,2.0,10,3,1.0
4,43,2013,120.5,1960,2,1,5,1,2.0,9,3,1.0
1,12,1174,79.7,1983,1,1,4,2,2.0,8,3,2.0
9,93,1919,478.7,1979,1,3,4,1,2.0,10,3,1.0
9,93,2796,379.7,1985,2,1,4,1,2.0,6,2,1.0
7,71,1951,269.9,1949,2,1,3,1,2.0,12,4,1.0
3,31,1716,291.3,2009,2,2,3,1,2.0,9,3,
8,83,1712,442.0,1966,1,2,5,1,2.0,10,3,1.0
8,81,1021,87.4,1989,1,2,4,1,2.0,11,3,1.0
2,22,1388,143.0,1939,2,2,2,1,2.0,5,2,1.0
2,22,947,365.8,2000,1,3,4,1,2.0,7,2,2.0
8,81,954,492.2,1986,2,1,3,1,2.0,5,2,1.0
1,12,1492,343.6,2003,1,1,3,1,2.0,7,2,1.0
6,61,936,54.9,1956,2,3,2,1,2.0,12,5,1.0
9,93,334,148.3,1974,2,1,1,1,2.0,11,3,1.0
7,71,1743,430.9,2016,2,1,5,1,1.0,2,2,
9,91,619,190.9,2006,1,1,1,1,1.0,12,4,1.0
1,13,617,340.7,1987,1,1,2,1,2.0,10,3,1.0
1,13,583,299.7,1944,1,1,3,1,2.0,11,3,1.0
9,91,2272,456.7,1974,1,1,3,1,2.0,9,3,1.0
6,63,2433,292.5,2005,1,1,5,1,1.0,12,4,1.0
8,81,660,61.5,1980,2,2,4,1,2.0,8,3,1.0
6,62,2525,65.9,1986,2,1,5,1,2.0,11,3,1.0
7,72,1632,442.5,2014,2,1,3,1,1.0,4,2,
2,22,2521,68.3,1982,1,1,3,1,2.0,11,3,1.0
8,81,3253,389.9,1954,1,1,4,1,2.0,11,3,1.0
6,61,1712,144.3,1986,1,1,5,1,2.0,12,4,1.0
2,22,3003,332.8,2003,1,1,3,4,2.0,9,3,1.0
1,12,1567,264.3,1971,2,1,3,1,2.0,12,4,1.0
3,32,1041,342.5,1949,2,2,1,1,2.0,11,3,1.0
2,23,2617,59.5,1992,1,2,3,1,2.0,12,5,1.0
6,62,3144,50.5,1944,1,1,3,1,2.0,6,2,1.0
9,92,1905,330.0,1976,1,1,3,1,2.0,12,4,1.0
4,42,3035,469.9,1995,2,1,3,1,2.0,8,3,1.0
8,82,3323,50.1,1976,2,1,3,1,2.0,8,3,1.0
8,82,2147,396.9,1938,1,2,4,1,2.0,8,3,1.0
4,43,1318,445.4,1980,1,2,2,1,2.0,10,3,1.0
4,43,2252,398.3,1980,2,1,3,1,2.0,12,4,1.0
6,61,1823,243.8,1942,1,1,3,2,2.0,4,2,1.0
3,31,2478,468.8,1970,1,1,3,1,2.0,10,3,1.0
4,42,2677,283.3,1977,1,2,2,2,2.0,10,3,1.0
6,62,2895,405.6,2007,2,1,5,1,1.0,9,3,1.0
4,41,2459,348.1,1939,2,1,5,1,2.0,11,3,1.0
3,31,2846,219.7,2017,1,3,5,1,2.0,1,2,
6,63,531,213.1,2013,2,2,5,1,1.0,4,2,
5,52,246,102.4,1946,2,1,4,1,2.0,10,3,1.0
2,23,2055,276.6,1973,1,1,3,1,2.0,9,3,1.0
5,51,1850,461.9,1990,1,1,5,1,2.0,9,3,1.0
8,81,1517,239.5,1966,1,1,3,1,2.0,11,3,1.0
7,71,2525,399.5,1953,1,1,3,1,2.0,9,3,1.0
9,91,1570,292.5,1941,2,3,2,1,2.0,9,3,1.0
5,52,539,439.4,1969,2,1,4,1,2.0,9,3,1.0
3,32,2441,230.7,1953,2,1,5,1,2.0,11,3,1.0
2,21,1641,170.0,1975,2,2,2,1,2.0,12,4,1.0
9,93,150,234.6,2000,2,1,4,1,2.0,9,3,1.0
4,41,910,73.2,1944,2,1,5,1,2.0,8,3,1.0
7,73,273,320.0,1944,2,3,3,1,2.0,9,3,1.0
5,51,311,75.1,1961,2,2,2,2,2.0,9,3,1.0
6,63,3221,464.9,1970,2,1,4,1,2.0,8,3,1.0
1,11,112,226.1,1996,1,1,4,4,2.0,8,3,1.0
1,13,3285,433.6,1980,1,2,2,1,2.0,6,2,1.0
3,33,2329,150.1,1997,1,1,4,4,2.0,10,3,1.0
9,91,2221,130.2,2017,1,1,3,1,2.0,0,0,
1,11,3233,57.7,1964,1,1,2,2,2.0,11,3,1.0
6,61,1444,486.6,2014,1,1,5,1,1.0,4,2,
3,32,2898,270.1,1986,2,1,5,1,2.0,7,2,1.0
9,93,1420,397.4,1972,1,3,1,1,2.0,9,3,1.0
2,22,2396,411.1,1984,1,2,4,1,2.0,8,3,1.0
6,62,184,421.5,1988,1,2,1,1,2.0,5,2,2.0
1,12,2573,254.8,1998,2,1,4,1,2.0,9,3,1.0
4,41,753,384.3,2011,1,2,1,1,1.0,7,2,
8,83,1376,207.2,1962,2,2,2,1,2.0,6,2,1.0
2,22,1679,464.9,1950,2,1,5,2,2.0,9,3,1.0
1,11,757,229.0,1958,2,1,4,1,2.0,8,3,1.0
5,51,1587,205.0,1996,2,1,4,2,2.0,11,3,1.0
7,71,662,298.4,1981,1,1,5,1,2.0,7,2,2.0
8,82,3142,474.0,2009,2,1,3,1,1.0,8,3,
7,73,2872,379.7,1982,2,3,2,1,2.0,7,2,1.0
7,71,2498,465.2,2016,1,1,1,4,1.0,0,0,
5,53,2547,360.1,2020,2,1,4,1,,0,0,
4,42,2611,412.6,2017,1,1,2,1,2.0,1,2,
1,12,2305,300.8,1948,1,1,5,1,2.0,11,3,1.0
4,42,1743,79.4,1952,2,1,3,4,2.0,10,3,1.0
2,21,603,206.5,2000,2,1,3,2,2.0,10,3,2.0
5,52,2895,115.7,1988,1,1,5,1,2.0,9,3,1.0
5,51,704,329.4,1945,1,1,3,1,2.0,7,2,1.0
4,41,1965,468.0,1990,1,2,3,1,2.0,11,3,1.0
7,72,2126,288.5,1999,1,1,1,1,2.0,8,3,1.0
8,82,2959,186.4,1940,1,2,1,1,2.0,10,3,1.0
9,92,294,232.2,2000,1,1,4,2,2.0,6,2,1.0
3,31,1200,175.7,2022,2,1,1,1,,1,2,
2,22,2310,166.4,1939,1,1,5,1,2.0,12,4,1.0
5,51,1834,428.0,1975,2,1,3,2,2.0,10,3,1.0
4,41,1087,89.3,1974,1,1,3,1,2.0,11,3,2.0
6,63,3168,496.7,2014,1,1,5,1,1.0,2,2,
1,12,605,382.5,2001,1,2,1,1,2.0,12,4,1.0
8,82,452,448.3,1941,2,2,1,1,2.0,6,2,1.0
3,31,2513,217.8,1955,2,1,1,1,2.0,8,3,1.0
7,71,2491,222.4,2011,1,2,1,2,1.0,5,2,
7,73,477,408.4,1950,1,1,5,2,2.0,7,2,1.0
1,11,1370,229.4,1949,2,3,1,1,1.0,10,3,1.0
7,72,457,459.4,1951,2,1,5,1,2.0,11,3,1.0
3,32,2836,73.4,1953,2,1,3,1,2.0,10,3,1.0
9,93,3109,243.4,2006,2,2,2,1,1.0,12,4,1.0
2,23,1490,412.8,1950,2,1,3,1,2.0,8,3,1.0
3,33,962,191.7,1985,1,1,4,1,2.0,12,4,1.0
3,32,2631,273.3,1996,1,2,2,1,2.0,11,3,1.0
4,42,2655,255.5,2000,2,2,4,2,2.0,11,3,1.0
6,62,1242,146.3,1944,1,1,4,1,2.0,9,3,1.0
1,12,2412,188.1,1983,1,1,4,1,2.0,10,3,1.0
9,93,758,360.1,1959,2,2,2,1,2.0,9,3,1.0
7,71,3286,330.4,1974,2,3,1,1,2.0,11,3,1.0
1,13,1397,152.5,1946,2,2,4,2,2.0,8,3,1.0
7,72,224,245.7,1988,1,1,4,1,2.0,11,3,1.0
6,61,1380,93.8,1984,2,1,2,1,2.0,12,4,1.0
7,72,1940,324.3,2006,2,1,2,1,1.0,10,3,1.0
7,71,1713,332.2,2008,2,1,3,1,1.0,9,3,
7,71,2605,339.6,1994,2,1,4,1,2.0,11,3,1.0
3,31,2791,379.8,1962,1,1,4,1,2.0,7,2,1.0
6,63,3213,207.7,1998,1,1,3,1,2.0,12,5,1.0
2,23,1488,163.1,1957,2,2,2,1,2.0,11,3,1.0
7,72,1365,434.3,1992,1,2,2,1,2.0,8,3,1.0
4,43,2847,132.1,2007,2,1,5,1,1.0,11,3,1.0
8,82,2146,363.0,1961,2,3,1,1,2.0,7,2,2.0
1,11,21,489.2,1959,2,1,5,1,2.0,11,3,1.0
4,42,678,281.8,2005,1,1,4,1,1.0,11,3,1.0
1,13,1633,187.8,1998,2,1,3,3,2.0,11,3,1.0
4,41,817,481.3,1947,1,1,2,1,2.0,9,3,1.0
2,21,764,342.0,1975,2,1,5,1,2.0,8,3,1.0
7,73,1427,127.2,1985,2,1,5,3,2.0,11,3,1.0
5,52,24,413.7,2013,2,1,4,1,1.0,5,2,
1,12,1655,271.9,1954,2,1,5,1,2.0,9,3,1.0
8,82,722,415.3,1975,1,1,5,1,2.0,6,2,1.0
4,42,1499,268.7,1964,2,1,3,1,2.0,9,3,1.0
7,71,2303,100.0,1948,2,1,5,4,2.0,8,3,1.0
5,52,1846,496.7,1988,1,1,4,2,2.0,11,3,1.0
8,83,551,290.1,2001,1,1,5,1,2.0,11,3,1.0
6,62,107,147.4,1968,2,1,5,1,2.0,8,3,1.0
4,41,1995,206.3,1947,1,1,5,1,2.0,9,3,1.0
7,73,409,101.7,1996,1,1,3,4,2.0,12,4,1.0
4,41,1283,257.6,1979,2,2,3,1,2.0,8,3,1.0
1,13,1843,396.4,2011,2,1,1,1,1.0,7,2,
